name,iata_code,icao_code
Aspen Executive Air,null,AXJ
Aspen Helicopters,null,AHF
Assistance Aeroportuaire de Uaeroport de Paris,null,XJA
Associated Aircraft Group,null,FXW
Associated Aviation,null,SCD
Association of Private Pilots of Kazakhstan,null,PVK
Air Astana,KC,KZR
Astonfly,null,BLT
Astonjet,null,AJD
Astonjet,null,ASJ
Astoria,null,AOI
Air Astra,2A,AWA
Astral Aviation Ltd.,8V*,ACP
Astro Air,null,SZA
Asturavia,null,HYO
AT And T Aviation Division,null,XAT
ATA Airlines,null,TBZ
Atair,null,AOF
ATC Alliance Avia Group,null,NZP
ATC,null,ARY
Atesa Aerotaxis Ecuatorianos,null,TXU
ATI Jet,null,CYO
Atlanta Air Charter,null,CTE
Air Atlanta Europe,CT*,AAE
Air Atlanta Icelandic,CC,ABD
Atlantair,null,ATB
Atlantic Aero And Mid-Atlantic Freight,null,MDC
